mean_test_score,mean_fit_time,C,Gamma,tomek,under_strat,over_strat
0.877123318,10.54669801,92.49750417,0.815040808,No TL,-80%,SMOTE
0.876674738,61.62606025,74.5419368,0.46312942,TL,Imbal,SMOTE
0.876670749,33.7246244,25.06805228,1.033106112,TL,-60%,+500% S
0.87599167,15.85330216,258.6625917,0.31462142,No TL,-80%,Imbal S
0.875854869,37.42478275,29.58461734,0.709382613,No TL,-80%,+500% S
0.875851493,38.17674502,57.73814609,0.508429602,TL,Imbal,SMOTE
0.875824761,34.70580045,104.4296619,0.817353955,No TL,-60%,Imbal S
0.875807453,69.40876746,74.89674645,0.858862423,No TL,Imbal,+500% S
0.875727557,134.1180398,17.38003573,0.761885032,No TL,-40%,SMOTE
0.875583345,32.70594557,50.10824904,0.982496087,TL,-60%,Imbal S
0.87535444,48.48173332,78.67722927,0.82769388,No TL,Imbal,+500% S
0.87522798,31.06465379,23.31098381,0.85864312,No TL,Imbal,SMOTE
0.875126471,55.01655801,37.03677564,0.80587098,TL,-60%,+500% S
0.875106106,11.65989176,118.2243234,0.703221897,No TL,-80%,+300% S
0.87490338,22.2776045,161.7754085,0.662849595,TL,Imbal,Imbal S
0.874772812,81.4842337,325.8096785,1.041746653,No TL,-25%,+300% S
0.874509426,88.00955327,47.71192602,0.386637901,TL,-40%,SMOTE
0.874015467,54.98388275,10.49110515,1.088860124,TL,-60%,SMOTE
0.873936287,57.02774763,47.39402497,1.089257166,TL,-40%,Imbal S
0.873599943,67.53126971,148.8006489,0.407559276,TL,-60%,+500% S
0.873530617,59.54435802,140.3956691,0.358887301,No TL,-60%,SMOTE
0.873213802,47.87862897,12.70065861,0.851191481,TL,-80%,+500% S
0.873149256,13.45070577,49.38964503,0.614641775,No TL,-80%,Imbal S
0.872893257,87.66882984,77.50203683,0.72824626,TL,-40%,+500% S
0.872877798,48.98598949,267.2042394,0.933124205,No TL,-40%,+300% S
0.872677455,18.09636633,74.64470984,0.591223659,TL,-80%,+300% S
0.872168052,18.73480924,46.72938321,0.980949709,No TL,-80%,+300% S
0.87211826,43.28964972,90.67896782,0.765879758,TL,-40%,Imbal S
0.872079467,47.2750202,44.62532119,0.920761709,TL,-40%,+500% S
0.872039344,34.64579296,69.72794693,1.003647358,TL,-60%,+300% S
0.871797977,64.2413551,43.97567394,0.821118889,TL,Imbal,+500% S
0.871779454,123.6985316,14.13791482,0.653881176,TL,-40%,SMOTE
0.871697571,113.7984468,52.77632707,0.953855379,TL,-25%,+500% S
0.871240232,297.5942659,4.765943451,1.086967501,No TL,-15%,SMOTE
0.871166998,59.88325047,64.21855992,0.476555859,No TL,-60%,SMOTE
0.871153646,38.56265092,15.93716739,0.823329175,No TL,-80%,+500% S
0.871107686,10.81441108,23.15874923,1.047576038,TL,-80%,+300% S
0.870678516,51.65362946,34.28257243,0.647971331,No TL,-60%,SMOTE
0.870669895,55.8520391,32.42409687,0.565672893,TL,Imbal,SMOTE
0.870361656,100.5684431,61.49111595,1.049687221,TL,-25%,Imbal S
0.870337686,64.34653958,86.20470011,0.99852096,TL,-40%,+300% S
0.87003338,130.7501081,73.5649407,0.963035049,No TL,-40%,BoSMOTE
0.869938897,74.20511341,15.68970412,0.663888098,No TL,-40%,SMOTE
0.869867955,67.88716197,71.16688053,0.748554634,No TL,Imbal,+500% S
0.869516816,20.61530622,98.88341674,0.684297782,No TL,-60%,Imbal S
0.869363225,31.87096612,82.13578562,0.863574878,TL,-60%,+300% S
0.869307853,211.8766195,82.73150294,0.228434824,TL,-25%,SMOTE
0.869115818,12.53538164,32.35457271,0.664852314,No TL,-80%,Imbal S
0.869037079,37.73100209,36.47671202,0.482140574,No TL,-80%,+500% S
0.869015542,301.6566517,53.69812909,0.808384124,No TL,-15%,BoSMOTE
0.868955677,19.33824992,56.99176729,0.382805339,No TL,-80%,+500% S
0.86885565,87.96887763,91.23031266,0.600045204,TL,-40%,+500% S
0.868804278,138.9318918,35.00461353,0.433314682,No TL,-40%,SMOTE
0.868493497,22.24609677,97.09175207,1.037416953,No TL,-60%,+300% S
0.868268606,29.57555922,47.92345348,0.940827436,No TL,-60%,Imbal S
0.868259906,24.66702422,127.5525956,0.997653206,No TL,Imbal,+300% S
0.868076917,284.9658674,233.4405901,0.441906614,No TL,-25%,BoSMOTE
0.86806019,39.32711673,53.46907593,0.385024892,No TL,-80%,+500% S
0.867784408,72.65484071,134.9860741,0.760051203,No TL,-40%,Imbal S
0.867450294,19.1335485,132.203328,0.504592551,No TL,-80%,+300% S
0.867362547,216.5972837,76.08353494,0.710770127,No TL,-25%,BoSMOTE
0.867287406,64.84046094,18.89118302,1.08541509,TL,Imbal,+500% S
0.866859779,79.61523922,183.2458612,0.794273029,No TL,Imbal,BoSMOTE
0.866738861,322.4226524,51.06824974,0.270790789,No TL,-15%,SMOTE
0.866691879,34.97768116,47.40477726,0.471566059,No TL,-60%,SMOTE
0.866619078,131.044662,24.8847542,0.477202457,No TL,-40%,SMOTE
0.866421268,136.3014264,74.38906291,0.699841945,TL,-15%,+500% S
0.866192324,110.4716944,49.73845789,0.861151381,TL,-25%,+500% S
0.866156493,14.07632271,19.34291916,0.65650852,TL,-80%,Imbal S
0.865748079,33.31922261,93.57945729,0.72460814,TL,-60%,+300% S
0.865629818,7.077583392,127.3851297,0.389468829,TL,-80%,SMOTE
0.865619354,67.48425984,31.87350903,0.792847473,TL,Imbal,+500% S
0.865579114,88.17625499,175.6023395,0.866853662,No TL,-40%,+300% S
0.865502243,32.75612505,46.93118565,0.731016774,TL,-60%,Imbal S
0.865379408,144.6870758,39.54095787,0.373630136,No TL,-40%,SMOTE
0.865316368,136.6809923,26.2979938,0.447183739,No TL,-40%,SMOTE
0.865125792,34.1021955,128.7865726,0.524798123,No TL,-60%,Imbal S
0.865065735,32.81980038,49.82931557,0.839106453,TL,Imbal,Imbal S
0.865005288,75.96909769,103.7673838,0.98143688,No TL,Imbal,BoSMOTE
0.86500081,50.98784471,180.9528233,0.443255611,TL,-40%,Imbal S
0.864911615,46.31301991,42.27868645,1.007853026,No TL,Imbal,Imbal S
0.864765603,168.6427717,38.68743189,0.900183609,No TL,-25%,BoSMOTE
0.864662577,163.9484794,204.029538,0.419665689,TL,-15%,+500% S
0.864616626,60.29332519,159.8847887,0.760592654,TL,Imbal,BoSMOTE
0.864461096,65.92582146,137.1263058,1.004865967,TL,-60%,BoSMOTE
0.864391289,6.286943515,24.87835612,0.983335374,No TL,-80%,SMOTE
0.864375092,176.7740073,114.2859879,0.700909911,No TL,-15%,+500% S
0.86420871,276.9557881,39.41031331,0.242397392,TL,-15%,SMOTE
0.863786909,127.0791274,45.05383937,0.286320569,TL,-40%,SMOTE
0.86335512,85.11854633,54.87480974,0.903752763,TL,-25%,Imbal S
0.86306699,32.5255785,75.35009079,1.022302269,TL,Imbal,BoSMOTE
0.862972266,39.53432163,8.710045219,0.89393712,No TL,-80%,+500% S
0.862694742,188.6921878,84.04728999,0.187763437,TL,-25%,SMOTE
0.862684268,41.76538229,59.68203042,0.889427983,TL,Imbal,+300% S
0.862642209,294.526394,314.05576,0.351977246,TL,-25%,BoSMOTE
0.86259887,60.63955228,64.86236335,1.076092153,TL,Imbal,BoSMOTE
0.86255565,73.67552177,147.4886196,0.622800833,No TL,-40%,Imbal S
0.862553377,54.74934173,90.53601068,0.703965631,TL,-25%,Imbal S
0.862547963,13.41653848,29.89686386,0.46546496,TL,-80%,Imbal S
0.862395576,216.6381268,28.78682536,0.340891355,No TL,-25%,SMOTE
0.862190531,163.4445562,122.2913754,0.835411026,No TL,-15%,Imbal S
0.861990935,70.26908588,119.4753544,0.794013704,TL,-15%,+300% S
0.861773907,172.136088,144.0614568,0.471982995,TL,-25%,BoSMOTE
0.861495845,89.07795739,52.39352902,0.771962638,No TL,-40%,+500% S
0.86109991,40.77387389,84.49176674,0.250963563,No TL,-80%,+500% S
0.860893133,8.250290553,24.82344042,0.874047323,No TL,-80%,SMOTE
0.86070247,309.064628,65.04826502,0.609123277,No TL,-15%,BoSMOTE
0.860629565,137.8993681,49.27012451,0.813511044,TL,-40%,BoSMOTE
0.860531164,7.791376829,18.78880453,0.861596836,TL,-80%,SMOTE
0.859949817,145.5557259,37.96471792,0.911129306,TL,-40%,BoSMOTE
0.859660131,89.86721698,50.92954805,0.839128265,TL,-25%,Imbal S
0.859659115,41.0517536,40.36074897,0.892390931,No TL,Imbal,Imbal S
0.859506476,8.765217225,87.42894782,0.44166354,No TL,-80%,SMOTE
0.859458356,218.2857495,61.62104077,0.196276333,TL,-25%,SMOTE
