activ,av_val_loss,drop_out,max_neurons,learn_rate,momentum,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
LeReLU,0.38769307,0.1,512,0.01,0.01,2862.546875,75,0.53869617,0.363246292,0.303615749,0.345214069
Relu,0.390259966,0.1,128,0.1,0.9,740.5,55,0.461490184,0.384913713,0.354505152,0.360130817
Relu,0.391605675,0,64,0.001,0.99,541.5625,57.5,0.462297171,0.385039121,0.332400471,0.386685938
Relu,0.393143289,0,64,0.001,0.9,541.40625,57.5,0.4422158,0.330596536,0.409348518,0.390412301
Relu,0.393148325,0.1,256,1.00E-05,0.999,1454.46875,68.75,0.459668845,0.437388986,0.39410457,0.2814309
Relu,0.393845774,0.2,256,0.01,0,1386.21875,67.5,0.454482466,0.347039521,0.401987731,0.371873379
Relu,0.394134037,0.1,128,0.01,0.99,755.109375,56.25,0.436727613,0.351180285,0.449154198,0.339474052
Relu,0.39532157,0.1,64,0.001,0.99,606.109375,62.5,0.413781673,0.368321985,0.392234057,0.406948566
Relu,0.397440679,0.2,256,1.00E-05,0.999,1461.140625,68.75,0.499360293,0.428564936,0.308268875,0.353568614
Relu,0.397635229,0.1,128,0.0001,0.99,756.296875,56.25,0.475285232,0.316834718,0.413846761,0.384574205
Relu,0.397841617,0,128,0.001,0.999,715.53125,55,0.481451303,0.357270271,0.372715652,0.379929245
Relu,0.398346953,0.1,64,0.001,0.9,652.765625,67.5,0.483606935,0.408550382,0.339998126,0.36123237
Relu,0.399401702,0.3,128,0.001,0.99,836.390625,62.5,0.470417321,0.38665244,0.410910606,0.329626441
Relu,0.39968136,0.3,256,0.001,0.9,1430.421875,67.5,0.39678213,0.400784701,0.41624251,0.384916097
Relu,0.403318226,0.1,128,0.0001,0.999,838.078125,62.5,0.451660931,0.460024178,0.3829436,0.318644196
Relu,0.40382456,0.3,128,0.1,0,791.09375,61.25,0.420091629,0.462318212,0.353095323,0.379793078
Softmax,0.404218316,0,256,0.01,0.9,1418.546875,70,0.546191871,0.358696938,0.334016055,0.377968401
Relu,0.404796757,0.1,128,1.00E-05,0.999,990.953125,73.75,0.514329016,0.338469356,0.388241172,0.378147483
Softmax,0.404844344,0,32,0.01,0.9,535.640625,65,0.453325361,0.382497281,0.384518504,0.399036229
Relu,0.405366525,0,64,0.0001,0.99,518.375,55,0.483506501,0.321889132,0.393802077,0.422268391
Relu,0.405727878,0.2,128,0.01,0.99,1039.125,77.5,0.465656459,0.372306466,0.359403968,0.42554462
Relu,0.405999869,0.2,256,0.0001,0.99,1327.46875,62.5,0.465709001,0.41056031,0.376808375,0.370921791
Relu,0.407634996,0.3,256,1.00E-05,0.999,1322.9375,62.5,0.473986238,0.437266171,0.330968529,0.388319045
Relu,0.408160269,0.1,64,0.0001,0.99,911.9375,93.75,0.418643683,0.436160356,0.392414838,0.3854222
Relu,0.408657923,0.2,256,0.001,0.999,1262.359375,60,0.483056575,0.408208817,0.332850069,0.410516232
Relu,0.410302788,0.3,128,0.1,0.9,1021.875,76.25,0.437137604,0.439297378,0.352176219,0.412599951
Relu,0.410474375,0.2,64,0.01,0.9,581.015625,60,0.449043244,0.383016378,0.448203862,0.361634016
Relu,0.41184102,0,64,0.0001,0.999,540.140625,57.5,0.522934139,0.429607868,0.37793228,0.316889793
LeReLU,0.411886588,0.1,128,0.01,0.01,787.265625,57.5,0.563892603,0.358852476,0.410193831,0.314607441
Softmax,0.412634209,0,512,0.1,0,2139.3125,61.25,0.557492793,0.428957254,0.350428581,0.313658208
Relu,0.412710272,0.2,128,0.001,0.9,1092.0625,81.25,0.453965962,0.359276086,0.35657075,0.481028289
LeReLU,0.414544314,0.1,256,0.01,0,1413.75,63.75,0.530686557,0.416027248,0.325113773,0.386349678
Relu,0.414828181,0,64,0.001,0.999,675.171875,71.25,0.504526258,0.41761902,0.431295425,0.305872023
LeReLU,0.414905384,0.1,512,0.001,0,3285.703125,87.5,0.455699086,0.428404599,0.336939842,0.43857801
Relu,0.415089652,0.3,128,0.0001,0.999,903.140625,67.5,0.4402242,0.414547741,0.400708228,0.404878438
Softmax,0.41587124,0.1,512,0.01,0.99,2286.0625,60,0.491868675,0.419568062,0.373336703,0.378711522
Relu,0.418432534,0.1,64,0.1,0.9,570.015625,58.75,0.436201692,0.377070338,0.427506655,0.43295145
LeReLU,0.418622151,0.1,128,0.01,0,944.65625,63.75,0.496176213,0.427107066,0.359034687,0.392170638
LeReLU,0.4192717,0,512,0.001,0.01,2348.65625,63.75,0.553310931,0.437346905,0.309702903,0.376726061
Relu,0.420613781,0.3,256,0.0001,0.999,1268.734375,60,0.527392626,0.370478809,0.462508291,0.322075397
Relu,0.420740165,0.3,256,0.01,0,1284.171875,62.5,0.504447043,0.479113102,0.427004158,0.272396356
Relu,0.421677947,0.2,64,0.1,0,636.890625,68.75,0.527818024,0.337445289,0.408994794,0.412453681
Relu,0.423767835,0.3,64,0.01,0.99,760.640625,78.75,0.446007848,0.439525306,0.368295759,0.441242427
Softmax,0.424454696,0,32,0.01,0.99,628.90625,67.5,0.458118826,0.436237782,0.465536982,0.337925196
Relu,0.425945014,0.1,512,1.00E-05,0,2785.3125,85,0.544516861,0.342866927,0.433828473,0.382567793
Relu,0.426832132,0.3,128,0.01,0,904.84375,70,0.456656814,0.409185052,0.414609045,0.426877618
Relu,0.427503325,0,256,0.0001,0.9,1364.328125,66.25,0.421750367,0.419095069,0.424804002,0.444363862
LeReLU,0.427589089,0,512,0.001,0,2652.4375,72.5,0.494463086,0.468084037,0.427495867,0.320313364
Softmax,0.429709129,0.1,256,0.1,0,1301.59375,62.5,0.57310605,0.374057382,0.451713651,0.319959432
Relu,0.430575266,0.1,64,0.01,0.99,594.890625,61.25,0.480737686,0.394430369,0.444152325,0.402980685
Relu,0.4314484,0.3,128,0.001,0.9,1026.71875,76.25,0.466945827,0.426308364,0.414176822,0.418362588
Softmax,0.432525501,0,32,0.1,0,481.828125,62.5,0.47677964,0.507438958,0.384566575,0.36131683
Relu,0.432910495,0.2,128,0.0001,0.999,869.765625,65,0.572398543,0.479935527,0.357984334,0.321323574
Softmax,0.433093958,0,32,0.1,0.9,530.46875,61.25,0.481717557,0.377616376,0.43786031,0.435181588
Relu,0.433613285,0.2,64,0.0001,0.99,629.4375,65,0.389818221,0.448540598,0.478471577,0.417622745
Relu,0.433809638,0,256,0.001,0,1771.59375,88.75,0.51395756,0.454871267,0.35102579,0.415383935
Relu,0.434039362,0.2,128,0.01,0,937.40625,72.5,0.537989914,0.356944054,0.407718629,0.43350485
Relu,0.435627453,0.3,128,0.0001,0.99,941.234375,70,0.457693189,0.416426688,0.423093677,0.445296258
Relu,0.436260425,0.1,64,0.0001,0.999,605.34375,62.5,0.472472161,0.479979396,0.377132863,0.415457278
Relu,0.436644435,0.3,128,0.01,0.9,886.015625,66.25,0.52171123,0.462524116,0.372411221,0.389931172
Relu,0.436737895,0.1,64,0.01,0,647.71875,70,0.561883807,0.413508415,0.39779672,0.373762637
Relu,0.438380197,0,512,1.00E-05,0,2041.796875,65,0.527709842,0.472472072,0.351207197,0.402131677
Relu,0.438537017,0.1,128,0.001,0.999,821.828125,61.25,0.541817069,0.437847584,0.402077705,0.372405708
Relu,0.439821705,0.2,64,1.00E-05,0.999,630.984375,65,0.504460514,0.446679711,0.419366568,0.388780028
LeReLU,0.440600857,0.1,512,0.001,0,2865.09375,76.25,0.481510282,0.463538945,0.485568792,0.331785411
LeReLU,0.441902518,0,512,0.001,0.001,2827.328125,67.5,0.501330018,0.468802422,0.404217035,0.393260598
Softmax,0.442599967,0.1,512,0.001,0.99,3140.078125,82.5,0.509081304,0.368177027,0.465079665,0.428061873
Relu,0.442830339,0.3,64,0.1,0,600.15625,65,0.576537371,0.42538026,0.421738893,0.347664833
Relu,0.443764307,0.2,128,1.00E-05,0.999,790.546875,58.75,0.52753371,0.386411488,0.486135691,0.374976337
LeReLU,0.445728689,0,256,0.001,0.01,1687.921875,80,0.419506758,0.452383071,0.503106654,0.407918274
Relu,0.44591473,0.3,256,0.001,0.999,1421.171875,67.5,0.495691001,0.406125933,0.403146565,0.478695422
Relu,0.448489033,0.3,256,0.0001,0.99,1323.171875,62.5,0.546988904,0.422031373,0.419816047,0.405119807
Relu,0.449940585,0.2,64,0.1,0.9,605.203125,62.5,0.558357775,0.426869214,0.383653462,0.430881888
LeReLU,0.451684676,0.1,256,0.1,0.99,1220.015625,55,0.485243529,0.41776064,0.511399806,0.392334729
Relu,0.454246953,0.2,64,0.0001,0.999,650,67.5,0.602823198,0.384693801,0.465014756,0.364456058
Relu,0.454905622,0.2,64,0.01,0.99,605.671875,62.5,0.434260398,0.477573127,0.482791603,0.42499736
Relu,0.455804557,0.2,256,0.0001,0.9,1562.90625,73.75,0.463055015,0.464060009,0.472607702,0.423495501
LeReLU,0.456386246,0.1,256,0.1,0.01,1466.03125,67.5,0.431845486,0.488374621,0.454519004,0.450805873
Relu,0.457599342,0.3,64,0.01,0.9,529.984375,55,0.523703158,0.517178953,0.421835452,0.367679805
LeReLU,0.460015111,0,512,0.001,0,2092.265625,57.5,0.62963593,0.41679287,0.403309554,0.390322089
Softmax,0.460230529,0.1,256,0.001,0.99,1462.375,66.25,0.519743025,0.519459546,0.398551345,0.403168201
Softmax,0.460837416,0.1,512,0.01,0.9,2811.078125,76.25,0.460344046,0.470207334,0.508796573,0.404001713
Relu,0.460839763,0.1,256,0.001,0,1462.890625,71.25,0.477390468,0.516626716,0.500116289,0.349225581
LeReLU,0.461193472,0,256,0.001,0,1247.21875,60,0.53204006,0.517782569,0.468124837,0.326826423
Relu,0.46424336,0.1,64,1.00E-05,0.999,668.328125,68.75,0.523433268,0.404468745,0.480412781,0.448658645
Relu,0.465227216,0.2,64,0.001,0.99,688.90625,71.25,0.592053115,0.471957892,0.420626998,0.37627086
Relu,0.465333715,0.3,64,0.1,0.9,652.390625,67.5,0.536467314,0.448875725,0.420116395,0.455875427
LeReLU,0.467099734,0,256,0.001,0.001,1675.8125,71.25,0.53202945,0.442109197,0.482120603,0.412139684
