av_val_loss,tomek,under_strat,over_strat,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
0.265670232,TL,Imbal,Imbal BS,2745.09375, 82.13 ,0.283661067,0.325776458,0.217860237,0.235383168
0.266582362,TL,-80%,BoSMOTE,2632.1875, 100.00 ,0.138264596,0.194577426,0.374650568,0.358836859
0.26671439,No TL,-25%,+300% BS,3531.71875, 87.75 ,0.274599731,0.238474384,0.333108872,0.220674574
0.268225357,No TL,Imbal,+300% BS,3065.828125, 88.88 ,0.295925438,0.232220113,0.26540044,0.279355437
0.269799285,No TL,-25%,Imbal BS,3353.125, 81.00 ,0.275855035,0.334726304,0.260381699,0.208234102
0.270037863,TL,-25%,+500% BS,3149.9375, 64.13 ,0.333157182,0.24939163,0.215492964,0.282109678
0.27194408,No TL,-80%,SMOTE,1460.078125, 63.00 ,0.225162506,0.241691187,0.338986844,0.281935781
0.272628691,TL,-40%,+100% S,3002.640625, 100.00 ,0.225488529,0.313008338,0.280131996,0.271885902
0.27371664,No TL,-15%,+300% BS,3973.03125, 92.25 ,0.179423556,0.314542472,0.301683784,0.299216747
0.274166301,TL,-15%,+500% BS,3585.109375, 65.25 ,0.254391521,0.211007118,0.318567604,0.31269896
0.277428795,TL,-40%,+300% S,2439.90625, 66.38 ,0.281997919,0.217947826,0.328545392,0.281224042
0.277839817,No TL,-40%,+300% S,2827.984375, 77.63 ,0.271306664,0.246653736,0.275805593,0.317593277
0.279220127,No TL,-60%,+300% BS,2761.046875, 87.75 ,0.222515702,0.336345583,0.262566328,0.295452893
0.281242754,No TL,Imbal,+300% S,3000.734375, 90.00 ,0.218070403,0.180302441,0.312903076,0.413695097
0.281957086,TL,-15%,+300% S,3505.171875, 73.13 ,0.342704654,0.25913924,0.206395403,0.319589049
0.284516241,No TL,-40%,+100% S,3117.40625, 100.00 ,0.326198041,0.186706856,0.277099013,0.348061055
0.28466519,No TL,-25%,+500% S,2513.125, 50.63 ,0.350135684,0.249769375,0.208751276,0.330004424
0.285640284,No TL,-15%,+500% BS,4185.59375, 79.88 ,0.305324942,0.327666193,0.286540449,0.223029554
0.285853826,No TL,-15%,Imbal BS,3231.890625, 73.13 ,0.317658126,0.276549786,0.259532839,0.28967455
0.285961226,No TL,Imbal,Imbal S,2439.3125, 70.88 ,0.28083086,0.227210611,0.289288521,0.34651491
0.289034627,No TL,-15%,+300% S,2997.171875, 69.75 ,0.314819515,0.278338671,0.275378406,0.287601918
0.290592473,TL,-15%,Imbal S,2845.96875, 57.38 ,0.37791571,0.320680857,0.236421838,0.227351487
0.294345573,TL,-40%,+300% BS,3305.046875, 90.00 ,0.23375015,0.298653275,0.247748628,0.397230238
0.296046279,TL,-60%,Imbal BS,2111.828125, 66.38 ,0.281088054,0.270562619,0.42552954,0.207004905
0.297398895,TL,-15%,+300% BS,3388.59375, 75.38 ,0.327419639,0.173387051,0.297223985,0.391564906
0.30289834,TL,-25%,+300% BS,2995.0625, 75.38 ,0.274727553,0.285542071,0.297166944,0.354156792
0.302922383,TL,-15%,Imbal BS,3828.578125, 81.00 ,0.354720205,0.234881461,0.330098301,0.291989565
0.304454818,No TL,-40%,+300% BS,2635.828125, 72.00 ,0.355394155,0.186188459,0.372847974,0.303388685
0.304624017,No TL,-80%,+100% S,1504.140625, 92.25 ,0.363606602,0.269738287,0.366723806,0.218427375
0.310532123,No TL,-80%,+50% S,1435.6875, 100.00 ,0.35679692,0.261569262,0.334651679,0.289110631
0.320479773,TL,-25%,Imbal S,2246.578125, 54.00 ,0.321557999,0.252842277,0.398082882,0.309435934
0.321872406,TL,-60%,+100% S,2118.9375, 100.00 ,0.278834313,0.378410131,0.395755947,0.234489232
0.323277816,No TL,-40%,Imbal S,2670.1875, 69.75 ,0.337799489,0.292194515,0.318502605,0.344614655
0.324717935,TL,Imbal,+50% S,2254.40625, 100.00 ,0.304226071,0.37051028,0.37523818,0.24889721
0.326213233,No TL,-25%,+300% S,2761.859375, 68.63 ,0.370747954,0.29450658,0.341952413,0.297645986
0.327873413,TL,-80%,+100% S,1285.046875, 78.75 ,0.223904029,0.367569059,0.34263888,0.377381682
0.331195954,TL,-15%,+100% S,3151.65625, 84.38 ,0.396063983,0.249392301,0.241075769,0.438251764
0.33259321,No TL,-80%,BoSMOTE,1395.6875, 59.63 ,0.337533593,0.344980061,0.272276253,0.375582933
0.343735673,TL,Imbal,+100% S,1513.984375, 65.25 ,0.319386035,0.312953591,0.31971547,0.422887594
0.344610065,No TL,-80%,+300% BS,1381.65625, 54.00 ,0.348951399,0.394097537,0.252660811,0.382730514
0.345273502,TL,-15%,+20% BS,2194.65625, 70.88 ,0.368539363,0.344845265,0.349894911,0.317814469
0.346224226,No TL,-60%,+100% BS,2201.46875, 100.00 ,0.332571924,0.286777526,0.380303264,0.385244191
0.346557163,TL,-25%,+50% S,2038.21875, 72.00 ,0.304061204,0.361542255,0.373152375,0.347472817
0.35246931,TL,-25%,+100% BS,2462.84375, 81.00 ,0.392320871,0.438823521,0.314163089,0.264569759
0.356833152,No TL,-60%,+100% S,1544.859375, 70.88 ,0.383710742,0.382318884,0.239312649,0.421990335
0.357442535,TL,-25%,+50% BS,2268.25, 81.00 ,0.389686257,0.29917863,0.430327386,0.310577869
0.360522814,TL,-80%,+50% S,1367.515625, 96.75 ,0.359016061,0.34142524,0.355886906,0.385763049
0.360561214,TL,-15%,+50% S,2326.625, 67.50 ,0.408029675,0.36967352,0.291990399,0.372551262
0.365118958,No TL,-15%,+50% BS,2837.96875, 90.00 ,0.286139637,0.418336689,0.408639818,0.347359687
0.36877697,TL,Imbal,+300% BS,2305.578125, 70.88 ,0.428862035,0.299044102,0.463195831,0.28400591
0.372548029,No TL,-15%,+100% BS,2771.59375, 82.13 ,0.308894396,0.389736265,0.398613334,0.392948121
0.373463169,TL,-25%,+20% BS,2155.8125, 81.00 ,0.472307354,0.361006826,0.343865484,0.316673011
0.374295503,TL,-15%,+20% S,2287.671875, 69.75 ,0.312490493,0.407199502,0.399925023,0.377566993
0.376275674,TL,-60%,+20% S,1373.171875, 77.63 ,0.444294155,0.332221538,0.280394763,0.448192239
0.37771263,TL,Imbal,+20% S,1757.484375, 91.13 ,0.39435479,0.355467737,0.32818532,0.432842672
0.377939411,No TL,-40%,+100% BS,2597.796875, 95.63 ,0.47036311,0.29350692,0.347115457,0.400772154
0.382146396,TL,-40%,+50% BS,2098.109375, 84.38 ,0.484030008,0.360577345,0.337527931,0.346450299
0.383086056,No TL,-80%,+100% BS,1596.46875, 100.00 ,0.452359468,0.300028443,0.457792997,0.322163314
0.383207656,No TL,Imbal,+20% BS,1635.0625, 81.00 ,0.357985646,0.379763752,0.366530895,0.428550333
0.383998036,TL,-80%,+100% BS,1181.046875, 72.00 ,0.306017429,0.389069051,0.382975876,0.45792979
0.384094074,No TL,-15%,+50% S,2542.375, 81.00 ,0.33397752,0.302475274,0.358225524,0.541697979
0.388403051,No TL,-40%,+50% BS,2315.390625, 93.38 ,0.222890943,0.443624079,0.485433072,0.401664108
0.389598742,No TL,-40%,+50% S,2055.421875, 83.25 ,0.303610563,0.400030971,0.409623265,0.445130169
0.391539626,No TL,-25%,+50% BS,2717.4375, 94.50 ,0.485806674,0.331574976,0.306128293,0.44264856
0.392703682,No TL,-15%,+100% S,2427.28125, 72.00 ,0.366221905,0.393222779,0.464807689,0.346562356
0.394575179,TL,-25%,+100% S,2086.9375, 66.38 ,0.291378766,0.473106921,0.370173186,0.443641841
0.397888549,TL,-40%,+50% S,1524.015625, 63.00 ,0.36702919,0.485173434,0.347804815,0.391546756
0.399192512,No TL,-40%,+20% S,1884.375, 79.88 ,0.37211588,0.389580965,0.439449072,0.395624131
0.40093182,TL,-25%,+20% S,1983.546875, 74.25 ,0.307351023,0.535354435,0.381907195,0.379114628
0.401751548,TL,-40%,+100% BS,1851.515625, 67.50 ,0.352576047,0.333429992,0.452403039,0.468597114
0.401987083,TL,Imbal,+50% BS,1406.578125, 67.50 ,0.437965989,0.432360202,0.337787718,0.399834424
0.406030916,No TL,Imbal,+100% S,1790.96875, 76.50 ,0.31955567,0.520559132,0.387151241,0.396857619
0.410255685,No TL,-25%,+100% S,1634.453125, 52.88 ,0.407167614,0.485628545,0.333560139,0.414666444
0.411600329,TL,-60%,+50% BS,1520.875, 79.88 ,0.399668038,0.406820953,0.342650056,0.497262269
0.411956236,TL,-60%,+20% BS,1488.640625, 84.38 ,0.400972664,0.516731381,0.351517946,0.378602952
0.412168026,No TL,-60%,+50% BS,1732.5625, 87.75 ,0.476314306,0.390122175,0.345883697,0.436351925
0.412400715,TL,-15%,+50% BS,2070.4375, 63.00 ,0.331626147,0.378249705,0.535510421,0.404216588
0.415798195,No TL,-80%,+50% BS,1217.875, 87.75 ,0.425342411,0.459861875,0.299956828,0.478031665
0.416433692,No TL,-60%,+20% BS,1644.71875, 90.00 ,0.447007805,0.340072334,0.407121599,0.47153303
0.416539937,No TL,Imbal,+100% BS,1918.3125, 79.88 ,0.502754092,0.471347302,0.359473944,0.332584411
0.417558335,No TL,-25%,+50% S,2090.546875, 73.13 ,0.429646701,0.303548872,0.428750634,0.508287132
0.419241682,No TL,-40%,+20% BS,1868.40625, 79.88 ,0.435005873,0.394939303,0.450082809,0.396938741
0.420554847,TL,-80%,+50% BS,1076.265625, 76.50 ,0.416782379,0.458463252,0.406808347,0.400165409
0.422772318,No TL,Imbal,+20% S,1721.125, 86.63 ,0.491496623,0.407177418,0.344479471,0.44793576
0.424799919,TL,-40%,+20% BS,1653.234375, 69.75 ,0.418890387,0.440871239,0.444800168,0.394637883
0.425342008,TL,-40%,+20% S,1334.890625, 58.50 ,0.486038476,0.2828269,0.417149693,0.515352964
0.42635759,No TL,-25%,+20% BS,1756.5625, 64.13 ,0.415727913,0.444249928,0.412000865,0.433451653
0.427700356,No TL,Imbal,+50% S,1479.734375, 69.75 ,0.346417069,0.480028212,0.392909169,0.491446972
